source_file,mode,model,accuracy,macro_f1,weighted_f1,training_time_seconds,inference_time_seconds,inference_time_ms
binary_baseline_metrics.csv,binary,random_forest,0.9987680352531452,0.9982956808075224,0.9987677801677148,24.425869200000307,0.2829043999954592,282.9043999954592
binary_baseline_metrics.csv,binary,lightgbm,0.9991944845885948,0.998886405692342,0.9991945956030164,3.496163300005719,0.2147196999867446,214.7196999867446
binary_baseline_metrics.csv,binary,xgboost,0.9987680352531452,0.998296620987536,0.9987681201735262,5.458423300005961,0.0662459000013768,66.2459000013768
binary_baseline_metrics.csv,binary,logistic_regression,0.9575919827524936,0.941380613050671,0.9576007468393712,5.72203870001249,0.007614400004968,7.614400004968
multiclass_baseline_metrics.csv,multiclass,random_forest,0.988296334904878,0.9654426793503964,0.9883571613383104,23.63063430000329,0.5392410999920685,539.2410999920685
multiclass_baseline_metrics.csv,multiclass,lightgbm,0.9896941410599636,0.9678221748630992,0.9898480653657498,26.82318479998503,2.422188900003676,2422.188900003676
multiclass_baseline_metrics.csv,multiclass,xgboost,0.9891492335757776,0.9655270448244562,0.989299601054738,58.95993159999489,0.5569968000054359,556.996800005436
multiclass_baseline_metrics.csv,multiclass,logistic_regression,0.8263166623232012,0.7685752745160646,0.833029973011663,210.9952154000057,0.021858299995074,21.858299995074
binary_extended_metrics.csv,binary,random_forest,0.9981283612499704,0.9974104777363152,0.9981278767173613,0.6735881000058725,0.0733870000112801,73.3870000112801
binary_extended_metrics.csv,binary,lightgbm,0.9974886872467956,0.9965344077776304,0.997491272319176,0.2745021000155248,0.0461058000219054,46.1058000219054
binary_extended_metrics.csv,binary,xgboost,0.9967779383543794,0.9955465432938636,0.9967787150847622,0.298473099945113,0.016132699965965,16.132699965965
binary_extended_metrics.csv,binary,logistic_regression,0.9572129166765382,0.9407913344922564,0.957198141758922,0.6470310000004247,0.0104940999881364,10.494099988136401
binary_extended_metrics.csv,binary,random_forest,0.9977729868037624,0.996923146697714,0.9977739828747516,0.6117332000285387,0.1590880999574437,159.0880999574437
binary_extended_metrics.csv,binary,lightgbm,0.9970859295410932,0.9959795707518536,0.997089277298246,0.2976319000008516,0.0290075000375509,29.007500037550898
binary_extended_metrics.csv,binary,xgboost,0.9969200881328628,0.9957500370270522,0.9969233636631176,0.2949018999934196,0.0164988000178709,16.4988000178709
binary_extended_metrics.csv,binary,logistic_regression,0.9574024497145158,0.9410291672261344,0.957378892093922,0.7175674000172876,0.0070294999750331,7.0294999750331
binary_extended_metrics.csv,binary,random_forest,0.9981283612499704,0.9974104777363152,0.9981278767173613,13.715077399974689,0.0871027000248432,87.1027000248432
binary_extended_metrics.csv,binary,xgboost,0.9979388282119928,0.9971504105000426,0.9979390767897776,2.8951767000253312,0.0220751999877393,22.0751999877393
binary_extended_metrics.csv,binary,lightgbm,0.9984600440664312,0.9978711430529305,0.9984602828100856,4.940958000021055,0.0400787999969907,40.078799996990696
binary_extended_metrics.csv,binary,mlp_classifier,0.9927266696676064,0.9899473225926944,0.992728548112507,5.418847799999639,0.0416846000007353,41.6846000007353
binary_extended_metrics.csv,binary,isolation_forest,0.3651590892937525,0.3624666594823055,0.3406671065539694,0.2180190000217408,0.2014354999992065,201.4354999992065
multiclass_extended_metrics.csv,multiclass,random_forest,0.9851927314079936,0.9528011682422364,0.9853082093477892,0.6708616999676451,0.1794620000291615,179.4620000291615
multiclass_extended_metrics.csv,multiclass,lightgbm,0.9856191807434432,0.9524028408202936,0.9859291617356803,1.9934463999816217,0.3722593999700621,372.2593999700621
multiclass_extended_metrics.csv,multiclass,xgboost,0.9817811367243952,0.947136326632462,0.981946091713606,2.490155800012872,0.0978096000035293,97.8096000035293
