model,mode,accuracy,precision,recall,f1_score,macro_f1,weighted_f1,confusion_matrix,training_time_seconds,inference_time_seconds
random_forest,binary,0.9987680352531451,0.999006858880854,0.9993790555434816,0.9991929225516064,0.9982956808075223,0.9987677801677147,"[[9968, 32], [20, 32189]]",24.425869200000307,0.28290439999545924
lightgbm,binary,0.9991944845885948,0.9995962858296327,0.9993480083206557,0.9994721316565751,0.9988864056923419,0.9991945956030164,"[[9987, 13], [21, 32188]]",3.496163300005719,0.21471969998674467
xgboost,binary,0.9987680352531451,0.9992547741034001,0.9991306777608743,0.9991927220790512,0.9982966209875359,0.9987681201735262,"[[9976, 24], [28, 32181]]",5.458423300005961,0.06624590000137687
logistic_regression,binary,0.9575919827524936,0.9723887318694289,0.9720264522338476,0.9722075583020215,0.941380613050671,0.9576007468393711,"[[9111, 889], [901, 31308]]",5.72203870001249,0.007614400004968047
