model,mode,accuracy,precision,recall,f1_score,macro_f1,weighted_f1,confusion_matrix,training_time_seconds,inference_time_seconds
random_forest,multiclass,0.9882963349048781,0.9884473621895358,0.9882963349048781,0.9883571613383105,0.9654426793503965,0.9883571613383105,"[[3997, 0, 1, 2, 0, 0, 0, 0, 0, 0], [0, 3920, 4, 29, 0, 15, 2, 0, 0, 30], [0, 0, 3920, 2, 25, 7, 8, 0, 36, 2], [0, 33, 5, 3881, 5, 1, 2, 0, 15, 58], [0, 1, 11, 8, 168, 8, 10, 0, 3, 0], [0, 6, 6, 0, 6, 9973, 4, 1, 2, 2], [0, 0, 5, 0, 17, 0, 3972, 0, 3, 3], [0, 4, 0, 0, 0, 0, 0, 3996, 0, 0], [0, 0, 23, 4, 12, 0, 2, 0, 3959, 0], [0, 15, 0, 53, 0, 3, 0, 0, 0, 3929]]",23.630634300003294,0.5392410999920685
lightgbm,multiclass,0.9896941410599636,0.9901497736283067,0.9896941410599636,0.9898480653657498,0.9678221748630993,0.9898480653657498,"[[3997, 0, 1, 1, 1, 0, 0, 0, 0, 0], [0, 3936, 2, 17, 1, 11, 1, 0, 0, 32], [0, 1, 3928, 0, 31, 4, 5, 0, 30, 1], [0, 22, 3, 3881, 6, 1, 1, 0, 12, 74], [0, 1, 5, 8, 184, 6, 4, 0, 1, 0], [0, 5, 3, 1, 6, 9980, 2, 0, 3, 0], [0, 1, 2, 1, 27, 0, 3964, 0, 2, 3], [0, 4, 0, 0, 0, 0, 0, 3996, 0, 0], [0, 0, 25, 4, 13, 2, 3, 0, 3953, 0], [0, 9, 0, 34, 0, 2, 0, 0, 0, 3955]]",26.82318479998503,2.4221889000036754
xgboost,multiclass,0.9891492335757777,0.9896077495163997,0.9891492335757777,0.9892996010547379,0.9655270448244562,0.9892996010547379,"[[3998, 0, 0, 2, 0, 0, 0, 0, 0, 0], [0, 3919, 2, 19, 2, 13, 1, 0, 0, 44], [0, 1, 3921, 0, 29, 9, 3, 0, 36, 1], [0, 30, 2, 3866, 7, 1, 2, 0, 20, 72], [0, 1, 10, 5, 178, 9, 5, 0, 1, 0], [0, 4, 4, 0, 5, 9981, 3, 1, 2, 0], [0, 0, 3, 0, 32, 0, 3960, 0, 2, 3], [0, 4, 0, 0, 0, 0, 0, 3996, 0, 0], [0, 0, 14, 0, 12, 3, 4, 0, 3967, 0], [0, 3, 2, 29, 0, 1, 0, 0, 0, 3965]]",58.95993159999489,0.5569968000054359
logistic_regression,multiclass,0.8263166623232012,0.8556234972478938,0.8263166623232012,0.833029973011663,0.7685752745160646,0.833029973011663,"[[3994, 0, 0, 0, 3, 0, 3, 0, 0, 0], [0, 3615, 4, 17, 47, 52, 133, 21, 17, 94], [0, 29, 3650, 0, 284, 9, 0, 2, 22, 4], [0, 94, 5, 2847, 142, 3, 761, 9, 13, 126], [0, 1, 1, 2, 196, 7, 2, 0, 0, 0], [0, 4, 2, 4, 213, 8397, 3, 1367, 9, 1], [926, 1, 0, 708, 51, 0, 2256, 0, 25, 33], [0, 2, 0, 0, 27, 1, 0, 3619, 184, 167], [725, 59, 10, 1, 41, 0, 0, 58, 2967, 139], [0, 116, 12, 94, 221, 4, 35, 38, 143, 3337]]",210.9952154000057,0.02185829999507405
