,precision,recall,f1-score,support
normal,0.9979975971165399,0.9968,0.9973984390634381,10000.0
attack,0.999006858880854,0.9993790555434816,0.9991929225516064,32209.0
accuracy,0.9987680352531451,0.9987680352531451,0.9987680352531451,0.9987680352531451
macro avg,0.998502227998697,0.9980895277717408,0.9982956808075223,42209.0
weighted avg,0.9987677483204727,0.9987680352531451,0.9987677801677147,42209.0
