,precision,recall,f1-score,support
normal,0.9979016786570744,0.9987,0.9983006797281088,10000.0
attack,0.9995962858296327,0.9993480083206557,0.9994721316565751,32209.0
accuracy,0.9991944845885948,0.9991944845885948,0.9991944845885948,0.9991944845885948
macro avg,0.9987489822433535,0.9990240041603279,0.9988864056923419,42209.0
weighted avg,0.9991948057726405,0.9991944845885948,0.9991945956030164,42209.0
