model,mode,accuracy,precision,recall,f1_score,macro_f1,weighted_f1,confusion_matrix,training_time_seconds,inference_time_seconds,balancing,training_samples,test_samples
random_forest,binary,0.9981283612499704,0.9985414597815293,0.9990064888695707,0.9987739201961727,0.9974104777363151,0.9981278767173613,"[[9953, 47], [32, 32177]]",0.776489700001548,0.07574230000318494,without_smote,30000,42209
lightgbm,binary,0.9974886872467957,0.9992845811689322,0.9974230805054488,0.9983529631125889,0.9965344077776305,0.9974912723191759,"[[9977, 23], [83, 32126]]",0.2477053999900818,0.03492440000991337,without_smote,30000,42209
xgboost,binary,0.9967779383543794,0.9981052958533934,0.9976714582880561,0.9978883299173964,0.9955465432938636,0.9967787150847622,"[[9939, 61], [75, 32134]]",0.24075520000769757,0.014043699993635528,without_smote,30000,42209
logistic_regression,binary,0.9572129166765382,0.9716714759998759,0.972274830016455,0.971973059374903,0.9407913344922563,0.9571981417589221,"[[9087, 913], [893, 31316]]",0.5809222999960184,0.006176900002174079,without_smote,30000,42209
random_forest,binary,0.9977729868037623,0.9989435416213529,0.9981371666304449,0.9985401913281153,0.996923146697714,0.9977739828747516,"[[9966, 34], [60, 32149]]",0.5442870999977458,0.07123570000112522,with_smote,30000,42209
lightgbm,binary,0.9970859295410931,0.9991288656586398,0.9970505138315378,0.9980886077916427,0.9959795707518536,0.997089277298246,"[[9972, 28], [95, 32114]]",0.21150230000785086,0.030384900004719384,with_smote,30000,42209
xgboost,binary,0.9969200881328627,0.9989423585404548,0.9970194666087119,0.9979799863260613,0.9957500370270522,0.9969233636631177,"[[9966, 34], [96, 32113]]",0.2118293000094127,0.013201299996580929,with_smote,30000,42209
logistic_regression,binary,0.9574024497145158,0.9716199869731088,0.9725853022447142,0.9721024049650893,0.9410291672261344,0.9573788920939221,"[[9085, 915], [883, 31326]]",0.6194910000049276,0.00615529999777209,with_smote,30000,42209
