,precision,recall,f1-score,support
normal,0.9972011195521792,0.9976,0.9974005198960207,10000.0
attack,0.9992547741034001,0.9991306777608743,0.9991927220790512,32209.0
accuracy,0.9987680352531451,0.9987680352531451,0.9987680352531451,0.9987680352531451
macro avg,0.9982279468277897,0.9983653388804372,0.9982966209875359,42209.0
weighted avg,0.9987682298708382,0.9987680352531451,0.9987681201735262,42209.0
