,precision,recall,f1-score,support
normal,0.9100079904115062,0.9111,0.9105536677993205,10000.0
attack,0.9723887318694289,0.9720264522338476,0.9722075583020215,32209.0
accuracy,0.9575919827524936,0.9575919827524936,0.9575919827524936,0.9575919827524936
macro avg,0.9411983611404675,0.9415632261169238,0.941380613050671,42209.0
weighted avg,0.9576097175696534,0.9575919827524936,0.9576007468393711,42209.0
